symbol,name,asset_class,market,sector,founding_date,founding_time,listing_date,listing_time,birth_city,transition_points_json,weight_founding,weight_listing,weight_transition,notes
AAPL,Apple Inc.,stock,NASDAQ,Technology,1976-04-01,00:00,1980-12-12,09:30,Cupertino,[],0.6,0.4,0,
MSFT,Microsoft Corp.,stock,NASDAQ,Technology,1975-04-04,00:00,1986-03-13,09:30,Redmond,[],0.6,0.4,0,
NVDA,NVIDIA Corp.,stock,NASDAQ,Technology,1993-04-05,00:00,1999-01-22,09:30,Santa Clara,[],0.6,0.4,0,
GOOGL,Alphabet Inc.,stock,NASDAQ,Technology,1998-09-04,00:00,2004-08-19,09:30,Mountain View,[],0.6,0.4,0,
META,Meta Platforms,stock,NASDAQ,Technology,2004-02-04,00:00,2012-05-18,11:30,Menlo Park,[],0.6,0.4,0,
AMZN,Amazon.com Inc.,stock,NASDAQ,Consumer,1994-07-05,00:00,1997-05-15,09:30,Seattle,[],0.6,0.4,0,
NFLX,Netflix Inc.,stock,NASDAQ,Technology,1997-08-29,00:00,2002-05-23,09:30,Los Gatos,[],0.6,0.4,0,
AMD,Advanced Micro Devices,stock,NASDAQ,Technology,1969-05-01,00:00,1972-09-27,09:30,Santa Clara,[],0.5,0.5,0,
TSLA,Tesla Inc.,stock,NASDAQ,Consumer,2003-07-01,00:00,2010-06-29,09:30,Austin,[],0.6,0.4,0,
AVGO,Broadcom Inc.,stock,NASDAQ,Technology,1961-01-01,00:00,2009-08-06,09:30,San Jose,[],0.4,0.6,0,
JPM,JPMorgan Chase,stock,NYSE,Finance,1799-09-01,00:00,1969-12-09,09:30,New York,[],0.1,0.9,0,1799 창립 너무 오래됨→상장일 비중
GS,Goldman Sachs,stock,NYSE,Finance,1869-10-01,00:00,1999-05-04,09:30,New York,[],0.3,0.7,0,
V,Visa Inc.,stock,NYSE,Finance,1958-09-18,00:00,2008-03-19,09:30,San Francisco,[],0.5,0.5,0,
MA,Mastercard Inc.,stock,NYSE,Finance,1966-12-16,00:00,2006-05-25,09:30,Purchase,[],0.5,0.5,0,
BAC,Bank of America,stock,NYSE,Finance,1904-10-17,00:00,1986-01-01,09:30,Charlotte,[],0.3,0.7,0,
JNJ,Johnson & Johnson,stock,NYSE,Healthcare,1886-01-01,00:00,1944-09-24,09:30,New Brunswick,[],0.2,0.8,0,
UNH,UnitedHealth Group,stock,NYSE,Healthcare,1977-01-01,00:00,1984-10-17,09:30,Minnetonka,[],0.6,0.4,0,
LLY,Eli Lilly & Co.,stock,NYSE,Healthcare,1876-05-10,00:00,1952-06-01,09:30,Indianapolis,[],0.3,0.7,0,
ABBV,AbbVie Inc.,stock,NYSE,Healthcare,2013-01-01,00:00,2013-01-02,09:30,North Chicago,[],0.7,0.3,0,창립=상장 거의 동시
WMT,Walmart Inc.,stock,NYSE,Consumer,1962-07-02,00:00,1972-10-01,09:30,Bentonville,[],0.5,0.5,0,
PG,Procter & Gamble,stock,NYSE,Consumer,1837-10-31,00:00,1890-01-01,09:30,Cincinnati,[],0.1,0.9,0,1837 창립 오래됨
KO,Coca-Cola Co.,stock,NYSE,Consumer,1892-01-29,00:00,1919-09-05,09:30,Atlanta,[],0.2,0.8,0,
MCD,McDonald's Corp.,stock,NYSE,Consumer,1955-04-15,00:00,1965-04-21,09:30,Chicago,[],0.5,0.5,0,
NKE,Nike Inc.,stock,NYSE,Consumer,1964-01-25,00:00,1980-12-02,09:30,Beaverton,[],0.5,0.5,0,
CAT,Caterpillar Inc.,stock,NYSE,Industrial,1925-04-15,00:00,1929-01-02,09:30,Deerfield,[],0.4,0.6,0,
HON,Honeywell Intl.,stock,NASDAQ,Industrial,1906-04-23,00:00,1985-01-02,09:30,Charlotte,[],0.3,0.7,0,
XOM,ExxonMobil Corp.,stock,NYSE,Energy,1870-01-01,00:00,1972-01-03,09:30,Irving,[],0.2,0.8,0,
CVX,Chevron Corp.,stock,NYSE,Energy,1879-09-10,00:00,1923-01-02,09:30,San Ramon,[],0.2,0.8,0,
NEE,NextEra Energy,stock,NYSE,Utilities,1925-12-28,00:00,1984-11-01,09:30,Juno Beach,[],0.4,0.6,0,
DIS,Walt Disney Co.,stock,NYSE,Communication,1923-10-16,00:00,1940-11-12,09:30,Burbank,[],0.5,0.5,0,
